RARE,1
PADDING,2
<s>,3
</s>,4
the,5
hallway,6
is,7
east,8
of,9
bathroom,10
bedroom,11
west,12
what,13
kitchen,14
north,15
garden,16
south,17
office,18
bill,19
travelled,20
to,21
picked,22
up,23
football,24
there,25
went,26
gave,27
fred,28
did,29
give,30
handed,31
jeff,32
back,33
who,34
received,35
got,36
milk,37
journeyed,38
moved,39
mary,40
took,41
apple,42
left,43
passed,44
put,45
down,46
grabbed,47
dropped,48
discarded,49
how,50
do,51
you,52
go,53
from,54
"s,s",55
"e,e",56
"n,e",57
"n,w",58
"n,n",59
"w,n",60
"s,e",61
"s,w",62
"e,n",63
"w,s",64
"w,w",65
"e,s",66
john,67
in,68
sandra,69
no,70
yes,71
longer,72
not,73
daniel,74
where,75
and,76
this,77
morning,78
afternoon,79
cinema,80
yesterday,81
school,82
was,83
before,84
evening,85
julie,86
park,87
after,88
that,89
he,90
following,91
then,92
she,93
afterwards,94
they,95
either,96
or,97
maybe,98
many,99
objects,100
carrying,101
one,102
none,103
two,104
three,105
triangle,106
above,107
pink,108
rectangle,109
blue,110
square,111
right,112
below,113
red,114
sphere,115
yellow,116
five,117
types,118
foreign,119
travel,120
related,121
business,122
work,123
type,124
1,125
non-billable,126
2,127
billable,128
3,129
deputation,130
for,131
having,132
stay,133
equal,134
greater,135
than,136
a,137
month,138
but,139
less,140
six,141
months,142
4,143
long,144
term,145
18,146
5,147
secondment,148
managers,149
should,150
accept,151
hospitality,152
customers,153
vendors,154
number,155
non,156
23468,157
which,158
has,159
7,160
can,161
9,162
minimum,163
period,164
duration,165
maximum,166
all,167
travelling,168
overseas,169
will,170
be,171
entitled,172
general,173
economy,174
class,175
premium,176
allowed,177
try,178
get,179
excursion,180
tickets,181
case,182
exigency,183
full,184
fare,185
return,186
availed,187
international,188
house,189
identified,190
service,191
provider,192
bookings,193
booking,194
requests,195
are,196
made,197
writing,198
as,199
soon,200
gets,201
know,202
likely,203
departure,204
dates,205
mailed,206
with,207
copy,208
resourcing,209
cell,210
revert,211
at,212
least,213
comparative,214
flight,215
schedules,216
major,217
airlines,218
on,219
requested,220
sector,221
ensure,222
most,223
efficient,224
option,225
selected,226
each,227
time,228
giving,229
due,230
weight,231
money,232
comfort,233
when,234
avail,235
whom,236
along,237
company,238
bear,239
costs,240
visa,241
medical,242
insurances,243
manager,244
have,245
additional,246
cost,247
expenses,248
expected,249
become,250
familiar,251
policy,252
procedure,253
claiming,254
proceeding,255
abroad,256
given,257
insurance,258
coverage,259
if,260
any,261
changes,262
needed,263
need,264
intimate,265
desk,266
necessary,267
mail,268
traveller,269
incurred,270
reimbursed,271
production,272
bills/proof,273
extension,274
an,275
employee,276
may,277
his,278
extended,279
while,280
being,281
provided,282
14,283
required,284
reimbursement,285
21,286
informed,287
change,288
56,289
8,290
policies,291
expense,292
claims,293
spouse,294
dependent,295
children,296
age,297
years,298
under,299
conditions,300
project,301
over,302
concerned,303
valid,304
permit,305
passage,306
family,307
paid,308
by,309
separate,310
accommodation,311
assured,312
individual,313
room,314
guest,315
hotel,316
could,317
shared,318
responsibility,319
obtaining,320
reimburse,321
suitable,322
deputations,323
extending,324
eligible,325
only,326
fro,327
pay,328
whose,329
it,330
obtain,331
6,332
please,333
provide,334
information,335
about,336
123456789,337
reporting,338
approve,339
files,340
completion,341
journey,342
domestic,343
purposes,344
settled,345
india,346
approved,347
form,348
sent,349
finance,350
kolkata,351
bangalore,352
heads,353
"smg,",354
"operations,",355
"finance,",356
"hr,",357
quality,358
defined,359
functional,360
head,361
"services,",362
itc,363
account,364
department/practice,365
practices,366
includes,367
"ms,",368
"java,",369
"ibm,",370
"cpc,",371
"cm,",372
"ps,",373
"siebel,",374
employees,375
must,376
fill,377
duly,378
requisition/,379
approval,380
factored,381
price,382
separately,383
reimbursable,384
customer,385
same,386
mechanism,387
needs,388
followed,389
approves,390
forms,391
smg,392
operations,393
hr,394
services,395
fills,396
